accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date
GU381596	""	""	Hedeoma martirensis voucher BM<GBR-LONDON>:Boyd 2315 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Hedeoma martirensis	""	""	BM<GBR-LONDON>:Boyd 2315	""	""	""	""
GU381597	""	""	Hedeoma palmeri voucher BM<GBR-LONDON>:Fernandez 2493 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Hedeoma palmeri	""	""	BM<GBR-LONDON>:Fernandez 2493	""	""	""	""
GU381612	""	""	Gontscharovia popovii voucher BM<GBR-LONDON>:Schmid 2419 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Gontscharovia popovii	""	""	BM<GBR-LONDON>:Schmid 2419	""	""	""	""
GU381677	""	""	Clinopodium piperitum voucher BM<GBR-LONDON>:Vickery 454 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Clinopodium piperitum	""	""	BM<GBR-LONDON>:Vickery 454	""	""	""	""
GU381679	""	""	Clinopodium nepalense voucher BM<GBR-LONDON>:Mikage et al. 9550294 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Clinopodium nepalense	""	""	BM<GBR-LONDON>:Mikage et al. 9550294	""	""	""	""
GU381681	""	""	Clinopodium hydaspidis voucher BM<GBR-LONDON>:Mohd 133 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Clinopodium hydaspidis	""	""	BM<GBR-LONDON>:Mohd 133	""	""	""	""
GU381682	""	""	Clinopodium wardii voucher BM<GBR-LONDON>:Ludlow et al. 14234 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Clinopodium wardii	""	""	BM<GBR-LONDON>:Ludlow et al. 14234	""	""	""	""
GU381683	""	""	Clinopodium barosmum voucher BM<GBR-LONDON>:McLaren N193 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Clinopodium barosmum	""	""	BM<GBR-LONDON>:McLaren N193	""	""	""	""
GU381740	""	""	Rhododon ciliatus voucher BM<GBR-LONDON>:Correll 37399 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Rhododon ciliatus	""	""	BM<GBR-LONDON>:Correll 37399	""	""	""	""
GU381743	""	""	Blephilia ciliata voucher BM<GBR-LONDON>:Kral 46722 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Blephilia ciliata	""	""	BM<GBR-LONDON>:Kral 46722	""	""	""	""
GU381749	""	""	Conradina canescens voucher BM<GBR-LONDON>:Godfrey 84060 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Conradina canescens	""	""	BM<GBR-LONDON>:Godfrey 84060	""	""	""	""
GU381750	""	""	Pycnanthemum tenuifolium voucher BM<GBR-LONDON>:Raven 27284 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Pycnanthemum tenuifolium	""	""	BM<GBR-LONDON>:Raven 27284	""	""	""	""
GU381751	""	""	Cunila leucantha voucher BM<GBR-LONDON>:Stafford et al. 397 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Cunila leucantha	""	""	BM<GBR-LONDON>:Stafford et al. 397	""	""	""	""
GU381756	""	""	Hedeoma martirensis voucher BM<GBR-LONDON>:Boyd 2315 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Hedeoma martirensis	""	""	BM<GBR-LONDON>:Boyd 2315	""	""	""	""
GU381757	""	""	Hedeoma palmeri voucher BM<GBR-LONDON>:Fernandez 2493 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Hedeoma palmeri	""	""	BM<GBR-LONDON>:Fernandez 2493	""	""	""	""
GU381770	""	""	Gontscharovia popovii voucher BM<GBR-LONDON>:Schmid 2419 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast.	Gontscharovia popovii	""	""	BM<GBR-LONDON>:Schmid 2419	""	""	""	""
HG935022	""	""	Baetis cf. ingridae BR-08-CO mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-08-CO	Baetis cf. ingridae BR-08-CO	""	""	BR-08-CO	""	""	""	""
HG935023	""	""	Baetis cf. ingridae BR-08-CO2 mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-08-CO2	Baetis cf. ingridae BR-08-CO2	""	""	BR-08-CO2	""	""	""	""
HG935024	""	""	Baetis cf. ingridae BR-08-CO3 mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-08-CO3	Baetis cf. ingridae BR-08-CO3	""	""	BR-08-CO3	""	""	""	""
HG935025	""	""	Baetis cf. ingridae BR-20-CO mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-20-CO	Baetis cf. ingridae BR-20-CO	""	""	BR-20-CO	""	""	""	""
HG935026	""	""	Baetis cf. ingridae BR-21-SA mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-21-SA	Baetis cf. ingridae BR-21-SA	""	""	BR-21-SA	""	""	""	""
HG935027	""	""	Baetis cf. ingridae BR-25-SA mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-25-SA	Baetis cf. ingridae BR-25-SA	""	""	BR-25-SA	""	""	""	""
HG935028	""	""	Baetis cf. ingridae BR-26-SA mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-26-SA	Baetis cf. ingridae BR-26-SA	""	""	BR-26-SA	""	""	""	""
HG935029	""	""	Baetis cf. ingridae BR-27-SA mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-27-SA	Baetis cf. ingridae BR-27-SA	""	""	BR-27-SA	""	""	""	""
HG935030	""	""	Baetis cf. rhodani BR-28-IT(TO) mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-28-IT(TO)	Baetis cf. rhodani BR-28-IT(TO)	""	""	BR-28-IT(TO)	""	""	""	""
HG935031	""	""	Baetis cf. rhodani BR-29-IT(TO) mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-29-IT(TO)	Baetis cf. rhodani BR-29-IT(TO)	""	""	BR-29-IT(TO)	""	""	""	""
HG935032	""	""	Baetis cf. rhodani BR-34-FR(AP) mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-34-FR(AP)	Baetis cf. rhodani BR-34-FR(AP)	""	""	BR-34-FR(AP)	""	""	""	""
HG935033	""	""	Baetis cf. rhodani BR-38-FR(MV) mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-38-FR(MV)	Baetis cf. rhodani BR-38-FR(MV)	""	""	BR-38-FR(MV)	""	""	""	""
HG935034	""	""	Baetis cf. rhodani BR-42-FR(ME) mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-42-FR(ME)	Baetis cf. rhodani BR-42-FR(ME)	""	""	BR-42-FR(ME)	""	""	""	""
HG935035	""	""	Baetis cf. rhodani BR-45-IT(LI) mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-45-IT(LI)	Baetis cf. rhodani BR-45-IT(LI)	""	""	BR-45-IT(LI)	""	""	""	""
HG935036	""	""	Baetis cf. rhodani BR-50-IT(LI) mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-50-IT(LI)	Baetis cf. rhodani BR-50-IT(LI)	""	""	BR-50-IT(LI)	""	""	""	""
HG935037	""	""	Baetis cf. rhodani BR-CH mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-CH	Baetis cf. rhodani BR-CH	""	""	BR-CH	""	""	""	""
HG935038	""	""	Baetis cf. rhodani BR-TU mitochondrial partial COI gene for cytochrome oxidase subunit 1, specimen voucher BR-TU	Baetis cf. rhodani BR-TU	""	""	BR-TU	""	""	""	""
HQ023865	Canada:Newfoundland and Labrador, AnaktalakFiord, MS9, muddy	56.4799995422363 N 61.939998626709 W	Artacama proboscidea voucher TBLABR-061 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Artacama proboscidea	""	""	TBLABR-061	""	PRJNA472144	Tanya Brown	2008-10-12
HQ023866	Canada:Newfoundland and Labrador, Saglek Fiord,site 155, mud with rock dust, cobbles	58.4799995422363 N 62.0999984741211 W	Brada sp. CMC01 voucher TBLABR-040 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Brada sp. CMC01	""	""	TBLABR-040	""	PRJNA472144	Tanya Brown	2008-08-05
HQ023867	Canada:Newfoundland and Labrador, Nachvak Fiord,site 44, gravelly pebble-cobble	59.0699996948242 N 63.4799995422363 W	Chone mollis voucher TBLABR-018 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Chone mollis	""	""	TBLABR-018	""	PRJNA472144	Tanya Brown	2008-08-01
HQ023868	Canada:Newfoundland and Labrador, Saglek Fiord,site 101, mud with silt (rock dust)	58.4799995422363 N 62.5 W	Enipo sp. CMC01 voucher TBLABR-032 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Enipo sp. CMC01	""	""	TBLABR-032	""	PRJNA472144	Tanya Brown	2008-08-04
HQ023869	Canada:Newfoundland and Labrador, Saglek Fiord,site 116, clay with silt with gravel	58.4900016784668 N 62.3699989318848 W	Enipo sp. CMC01 voucher TBLABR-035 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Enipo sp. CMC01	""	""	TBLABR-035	""	PRJNA472144	Tanya Brown	2008-08-04
HQ023870	Canada:Newfoundland and Labrador, AnaktalakFiord, MS1, muddy (maybe sandy-mud)	56.4599990844727 N 62.1800003051758 W	Enipo sp. CMC01 voucher TBLABR-056 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Enipo sp. CMC01	""	""	TBLABR-056	""	PRJNA472144	Tanya Brown	2008-10-12
HQ023871	Canada:Newfoundland and Labrador, Nachvak Fiord,site 1, sandy-mud with pebbles	59.0499992370605 N 63.9700012207031 W	Enipo sp. CMC01 voucher TBLABR-001 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Enipo sp. CMC01	""	""	TBLABR-001	""	PRJNA472144	Tanya Brown	2008-07-30
HQ023872	Canada:Newfoundland and Labrador, Saglek Fiord,site 155, mud with rock dust, cobbles	58.4799995422363 N 62.0999984741211 W	Eunoe nodosa CMC02 voucher TBLABR-039 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Eunoe nodosa CMC02	""	""	TBLABR-039	""	PRJNA472144	Tanya Brown	2008-08-05
HQ023873	Canada:Newfoundland and Labrador, AnaktalakFiord, MS3, mud with gravel	56.439998626709 N 62.1199989318848 W	Eunoe nodosa CMC02 voucher TBLABR-059 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Eunoe nodosa CMC02	""	""	TBLABR-059	""	PRJNA472144	Tanya Brown	2008-10-12
HQ023874	Canada:Newfoundland and Labrador, Saglek Fiord,site 116, clay with silt with gravel	58.4900016784668 N 62.3699989318848 W	Gattyana cirrhosa voucher TBLABR-034 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Gattyana cirrhosa	""	""	TBLABR-034	""	PRJNA472144	Tanya Brown	2008-08-04
HQ023875	Canada:Newfoundland and Labrador, Nachvak Fiord,site 17, gravel bottom	59.0800018310547 N 63.939998626709 W	Gattyana cirrhosa voucher TBLABR-013 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Gattyana cirrhosa	""	""	TBLABR-013	""	PRJNA472144	Tanya Brown	2008-07-31
HQ023876	Canada:Newfoundland and Labrador, Saglek Fiord,site 155, mud with rock dust, cobbles	58.4799995422363 N 62.0999984741211 W	Glycera capitata voucher TBLABR-045 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Glycera capitata	""	""	TBLABR-045	""	PRJNA472144	Tanya Brown	2008-08-05
HQ023877	Canada:Newfoundland and Labrador, AnaktalakFiord, MS127, muddy with gravel	56.4199981689453 N 61.6800003051758 W	Goniada maculata voucher TBLABR-050 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Goniada maculata	""	""	TBLABR-050	""	PRJNA472144	Tanya Brown	2008-08-11
HQ023878	Canada:Newfoundland and Labrador, AnaktalakFiord, MS1, muddy (maybe sandy-mud)	56.4599990844727 N 62.1800003051758 W	Goniada maculata voucher TBLABR-055 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Goniada maculata	""	""	TBLABR-055	""	PRJNA472144	Tanya Brown	2008-10-12
HQ023879	Canada:Newfoundland and Labrador, AnaktalakFiord, MS3, mud with gravel	56.439998626709 N 62.1199989318848 W	Goniada maculata voucher TBLABR-058 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Goniada maculata	""	""	TBLABR-058	""	PRJNA472144	Tanya Brown	2008-10-12
HQ023880	Canada:Newfoundland and Labrador, AnaktalakFiord, mud with gravel	56.439998626709 N 62.1199989318848 W	Goniada maculata voucher TBLABR-171 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Goniada maculata	""	""	TBLABR-171	""	PRJNA472144	Tanya Brown	2008-08-07
HQ023881	Canada:Newfoundland and Labrador, Nachvak Fiord,site 26, cohesive muddy-sand with gravel (pebbles andcobbles)	59.060001373291 N 63.8899993896484 W	Harmothoe sp. CMC01 voucher TBLABR-012 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Harmothoe sp. CMC01	""	""	TBLABR-012	""	PRJNA472144	Tanya Brown	2008-07-31
HQ023882	Canada:Newfoundland and Labrador, Saglek Fiord,site 157, mud	58.4799995422363 N 62.0699996948242 W	Lumbrineris fragilis CMC01 voucher TBLABR-048 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Scoletoma fragilis CMC01	""	""	TBLABR-048	""	PRJNA472144	Tanya Brown	2008-08-06
HQ023883	Canada:Newfoundland and Labrador, AnaktalakFiord, MS134, muddy sand with gravel	56.4199981689453 N 62.0499992370605 W	Lumbrineris fragilis CMC01 voucher TBLABR-052 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Scoletoma fragilis CMC01	""	""	TBLABR-052	""	PRJNA472144	Tanya Brown	2008-10-11
HQ023884	Canada:Newfoundland and Labrador, Nachvak Fiord,site 40, cohesive mud	59.0499992370605 N 63.689998626709 W	Lumbrineris fragilis CMC01 voucher TBLABR-014 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Scoletoma fragilis CMC01	""	""	TBLABR-014	""	PRJNA472144	Tanya Brown	2008-08-01
HQ023885	Canada:Newfoundland and Labrador, AnaktalakFiord, MS1, muddy (maybe sandy-mud)	56.4599990844727 N 62.1800003051758 W	Maldane sarsi CMC01 voucher TBLABR-054 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Maldane sarsi CMC01	""	""	TBLABR-054	""	PRJNA472144	Tanya Brown	2008-10-12
HQ023886	Canada:Newfoundland and Labrador, Saglek Fiord,site 101, mud with silt (rock dust)	58.4799995422363 N 62.5 W	Maldanidae sp. CMC01 voucher TBLABR-030 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Maldanidae sp. CMC01	""	""	TBLABR-030	""	PRJNA472144	Tanya Brown	2008-08-04
HQ023887	Canada:Newfoundland and Labrador, Saglek Fiord,site 101, mud with silt (rock dust)	58.4799995422363 N 62.5 W	Maldanidae sp. CMC01 voucher TBLABR-031 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Maldanidae sp. CMC01	""	""	TBLABR-031	""	PRJNA472144	Tanya Brown	2008-08-04
HQ023888	Canada:Newfoundland and Labrador, Nachvak Fiord,site 1, sandy-mud with pebbles	59.0499992370605 N 63.9700012207031 W	Maldanidae sp. CMC01 voucher TBLABR-003 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Maldanidae sp. CMC01	""	""	TBLABR-003	""	PRJNA472144	Tanya Brown	2008-07-30
HQ023889	Canada:Newfoundland and Labrador, Nachvak Fiord,site 1, sandy-mud with pebbles	59.0499992370605 N 63.9700012207031 W	Maldanidae sp. CMC01 voucher TBLABR-005 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Maldanidae sp. CMC01	""	""	TBLABR-005	""	PRJNA472144	Tanya Brown	2008-07-30
HQ023890	Canada:Newfoundland and Labrador, Nachvak Fiord,site 8, muddy bottom	59.0699996948242 N 63.9700012207031 W	Maldanidae sp. CMC01 voucher TBLABR-007 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Maldanidae sp. CMC01	""	""	TBLABR-007	""	PRJNA472144	Tanya Brown	2008-07-30
HQ023891	Canada:Newfoundland and Labrador, Saglek Fiord,site 110, sandy-mud with gravel	58.4799995422363 N 62.5 W	Nephtys punctata CMC03 voucher TBLABR-033 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Nephtys punctata CMC03	""	""	TBLABR-033	""	PRJNA472144	Tanya Brown	2008-08-04
HQ023892	Canada:Newfoundland and Labrador, Saglek Fiord,site 116, clay with silt with gravel	58.4900016784668 N 62.3699989318848 W	Nephtys punctata CMC03 voucher TBLABR-036 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Nephtys punctata CMC03	""	""	TBLABR-036	""	PRJNA472144	Tanya Brown	2008-08-04
HQ023893	Canada:Newfoundland and Labrador, Saglek Fiord,site 116, clay with silt with gravel	58.4900016784668 N 62.3699989318848 W	Nephtys punctata CMC03 voucher TBLABR-037 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Nephtys punctata CMC03	""	""	TBLABR-037	""	PRJNA472144	Tanya Brown	2008-08-04
HQ023894	Canada:Newfoundland and Labrador, Saglek Fiord,site 155, mud with rock dust, cobbles	58.4799995422363 N 62.0999984741211 W	Nephtys sp. CMC05 voucher TBLABR-042 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Nephtys sp. CMC05	""	""	TBLABR-042	""	PRJNA472144	Tanya Brown	2008-08-05
HQ023895	Canada:Newfoundland and Labrador, Saglek Fiord,site 155, mud with rock dust, cobbles	58.4799995422363 N 62.0999984741211 W	Nothria conchylega CMC02 voucher TBLABR-046 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Nothria conchylega CMC02	""	""	TBLABR-046	""	PRJNA472144	Tanya Brown	2008-08-05
HQ023896	Canada:Newfoundland and Labrador, Nachvak Fiord,site 26, cohesive muddy-sand with gravel (pebbles andcobbles)	59.060001373291 N 63.8899993896484 W	Nothria conchylega CMC02 voucher TBLABR-011 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Nothria conchylega CMC02	""	""	TBLABR-011	""	PRJNA472144	Tanya Brown	2008-07-31
HQ023897	Canada:Newfoundland and Labrador, Saglek Fiord,site 210, med-coarse grained sand	58.4900016784668 N 62.6800003051758 W	Ophelia limacina CMC02 voucher TBLABR-049 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Ophelia aff. limacina CMC02	""	""	TBLABR-049	""	PRJNA472144	Tanya Brown	2008-08-07
HQ023898	Canada:Newfoundland and Labrador, Nachvak Fiord,Sam`s Nachvak 1, mud	59.0299987792969 N 63.7400016784668 W	Ophelina acuminata CMC01 voucher TBLABR-028 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Ophelina acuminata CMC01	""	""	TBLABR-028	""	PRJNA472144	Tanya Brown	2008-08-03
HQ023899	Canada:Newfoundland and Labrador, AnaktalakFiord, MS3, mud with gravel	56.439998626709 N 62.1199989318848 W	Ophelina acuminata CMC01 voucher TBLABR-057 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Ophelina acuminata CMC01	""	""	TBLABR-057	""	PRJNA472144	Tanya Brown	2008-10-12
HQ023900	Canada:Newfoundland and Labrador, Nachvak Fiord,site 1, sandy-mud with pebbles	59.0499992370605 N 63.9700012207031 W	Pectinaria hyperborea voucher TBLABR-002 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Pectinaria hyperborea	""	""	TBLABR-002	""	PRJNA472144	Tanya Brown	2008-07-30
HQ023901	Canada:Newfoundland and Labrador, Nachvak Fiord,site 23, cohesive muddy-sand with gravel (pebbles andcobbles)	59.0499992370605 N 63.8800010681152 W	Pherusa plumosa voucher TBLABR-008 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Pherusa plumosa	""	""	TBLABR-008	""	PRJNA472144	Tanya Brown	2008-07-31
HQ023902	Canada:Newfoundland and Labrador, Nachvak Fiord,site 23, cohesive muddy-sand with gravel (pebbles andcobbles)	59.0499992370605 N 63.8800010681152 W	Pherusa plumosa voucher TBLABR-010 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Pherusa plumosa	""	""	TBLABR-010	""	PRJNA472144	Tanya Brown	2008-07-31
HQ023903	Canada:Newfoundland and Labrador, Saglek Fiord,site 155, mud with rock dust, cobbles	58.4799995422363 N 62.0999984741211 W	Phyllodoce sp. CMC01 voucher TBLABR-044 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Phyllodoce sp. CMC01	""	""	TBLABR-044	""	PRJNA472144	Tanya Brown	2008-08-05
HQ023904	Canada:Newfoundland and Labrador, Saglek Fiord,site 157, mud	58.4799995422363 N 62.0699996948242 W	Phyllodoce sp. CMC01 voucher TBLABR-047 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Phyllodoce sp. CMC01	""	""	TBLABR-047	""	PRJNA472144	Tanya Brown	2008-08-06
HQ023905	Canada:Newfoundland and Labrador, AnaktalakFiord, MS127, muddy with gravel	56.4199981689453 N 61.6800003051758 W	Polynoidae sp. CMC03 voucher TBLABR-051 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Polynoidae sp. CMC03	""	""	TBLABR-051	""	PRJNA472144	Tanya Brown	2008-08-11
HQ023906	Canada:Newfoundland and Labrador, Saglek Fiord,mud with rock dust, cobbles	58.4799995422363 N 62.0999984741211 W	Pseudoscalibregma parvum voucher TBLABR-173 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Pseudoscalibregma parvum	""	""	TBLABR-173	""	PRJNA472144	Tanya Brown	2008-08-07
HQ023907	Canada:Newfoundland and Labrador, Nachvak Fiord,Sam`s Nachvak 1, mud	59.0299987792969 N 63.7400016784668 W	Scalibregma inflatum CMC01 voucher TBLABR-027 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Scalibregma inflatum CMC01	""	""	TBLABR-027	""	PRJNA472144	Tanya Brown	2008-08-03
HQ023908	Canada:Newfoundland and Labrador, Saglek Fiord,site 101, mud with silt (rock dust)	58.4799995422363 N 62.5 W	Scalibregma inflatum CMC01 voucher TBLABR-029 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Scalibregma inflatum CMC01	""	""	TBLABR-029	""	PRJNA472144	Tanya Brown	2008-08-04
HQ023909	Canada:Newfoundland and Labrador, Saglek Fiord,site 155, mud with rock dust, cobbles	58.4799995422363 N 62.0999984741211 W	Scalibregma inflatum CMC01 voucher TBLABR-043 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Scalibregma inflatum CMC01	""	""	TBLABR-043	""	PRJNA472144	Tanya Brown	2008-08-05
HQ023910	Canada:Newfoundland and Labrador, Nachvak Fiord,gravelly pebble-cobble	59.0699996948242 N 63.4900016784668 W	Scalibregma inflatum CMC01 voucher TBLABR-172 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Scalibregma inflatum CMC01	""	""	TBLABR-172	""	PRJNA472144	Tanya Brown	2008-08-07
HQ023911	Canada:Newfoundland and Labrador, Nachvak Fiord,site 41, coheasive mud	59.060001373291 N 63.5699996948242 W	Scalibregma inflatum CMC01 voucher TBLABR-015 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Scalibregma inflatum CMC01	""	""	TBLABR-015	""	PRJNA472144	Tanya Brown	2008-08-01
HQ023912	Canada:Newfoundland and Labrador, Nachvak Fiord,site 44, gravelly pebble-cobble	59.0699996948242 N 63.4799995422363 W	Scalibregma inflatum CMC01 voucher TBLABR-023 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Scalibregma inflatum CMC01	""	""	TBLABR-023	""	PRJNA472144	Tanya Brown	2008-08-01
HQ023913	Canada:Newfoundland and Labrador, Saglek Fiord,site 151, mud with rock dust, cobbles	58.4799995422363 N 62.0999984741211 W	Spionidae sp. CMC01 voucher TBLABR-038 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Spionidae sp. CMC01	""	""	TBLABR-038	""	PRJNA472144	Tanya Brown	2008-08-05
HQ023914	Canada:Newfoundland and Labrador, AnaktalakFiord, MS130, muddy	56.4199981689453 N 62.060001373291 W	Terebellidae sp. CMC02 voucher TBLABR-053 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Terebellidae sp. CMC02	""	""	TBLABR-053	""	PRJNA472144	Tanya Brown	2008-10-12
HQ023915	Canada:Newfoundland and Labrador, Nachvak Fiord,site 23, cohesive muddy-sand with gravel (pebbles andcobbles)	59.0499992370605 N 63.8800010681152 W	Terebellidae sp. CMC03 voucher TBLABR-009 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Terebellidae sp. CMC03	""	""	TBLABR-009	""	PRJNA472144	Tanya Brown	2008-07-31
HQ023916	Canada:Newfoundland and Labrador, Saglek Fiord,site 155, mud with rock dust, cobbles	58.4799995422363 N 62.0999984741211 W	Terebellides sp. CMC02 voucher TBLABR-041 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Terebellides sp. CMC02	""	""	TBLABR-041	""	PRJNA472144	Tanya Brown	2008-08-05
HQ023917	Canada:Newfoundland and Labrador, AnaktalakFiord, MS22, mud with cobbles	56.4000015258789 N 61.7900009155273 W	Terebellides stroemii CMC02 voucher TBLABR-064 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Terebellides stroemii CMC02	""	""	TBLABR-064	""	PRJNA472144	Tanya Brown	2008-10-14
HQ023918	Canada:Newfoundland and Labrador, AnaktalakFiord, MS9, muddy	56.4799995422363 N 61.939998626709 W	Terebellides stroemii CMC04 voucher TBLABR-060 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Terebellides stroemii CMC04	""	""	TBLABR-060	""	PRJNA472144	Tanya Brown	2008-10-12
HQ023919	Canada:Newfoundland and Labrador, Nachvak Fiord,site 44, gravelly pebble-cobble	59.0699996948242 N 63.4799995422363 W	Amphitrite cirrata voucher TBLABR-022 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Amphitrite cirrata	""	""	TBLABR-022	""	PRJNA472144	Tanya Brown	2008-08-01
HQ023920	Canada:Newfoundland and Labrador, Nachvak Fiord,site 44, gravelly pebble-cobble	59.0699996948242 N 63.4799995422363 W	Amphitrite cirrata voucher TBLABR-026 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial.	Amphitrite cirrata	""	""	TBLABR-026	""	PRJNA472144	Tanya Brown	2008-08-01
